hotel	city	engine	booking_link	website
The Abbey Hotel	bath	UNREACHABLE		https://abbeyhotelbath.co.uk/
Dukes Hotel	bath	none-in-html		https://www.dukesbath.co.uk/
Queensberry Hotel	bath	none-in-html		https://www.thequeensberry.co.uk/
Haringtons Hotel	bath	Mews	https://app.mews.com/distributor/57662e28-3ba5-471b-b3d4-b287008b3109	https://www.haringtonshotel.co.uk/
Royal Hotel Bath	bath	none-in-html		https://www.royalhotelbath.co.uk/
Pulteney House	bath	none-in-html		https://www.pulteneyhotel.co.uk/
The Ayrlington	bath	none-in-html		https://ayrlington.com/
The Bird Hotel	bath	SynXis(Sabre)	https://be.synxis.com/	https://www.thebirdbath.co.uk/
Combe Grove Manor	bath	none-in-html		https://combegrove.com/
The Bath Priory	bath	none-in-html		https://www.thebathpriory.co.uk/
The Roseate Villa	bath	UNREACHABLE		https://www.villamagdala.co.uk/
The Old Mill Hotel	bath	none-in-html		https://www.oldmillbath.co.uk/
eight	bath	none-in-html		https://www.eightinbath.co.uk/
The Edgar Town House	bath	none-in-html		https://www.edgar-townhouse.co.uk/
Redcar Hotel	bath	UNREACHABLE		https://www.redcarhotelbath.co.uk
The Yard in Bath	bath	SiteMinder	https://direct-book.com/properties/theyardbathdirect	https://theyardinbath.co.uk
The Royal Crescent Hotel	bath	SynXis(Sabre)	https://be.synxis.com/	https://www.royalcrescent.co.uk/
Tasburgh House	bath	none-in-html		http://tasburghhouse.co.uk
The Gainsborough Bath Spa	bath	TravelClick	https://reservations.travelclick.com/111998	https://www.thegainsboroughbathspa.co.uk/
Hope Place Bath	bath	none-in-html		https://hopeplacebath.co.uk/
Wentworth House	bath	none-in-html		https://www.wentworthhouse.co.uk/
100 Princes Street	edinburgh	none-in-html		https://100princes-street.com/
Ardmillan Hotel	edinburgh	none-in-html		https://www.ardmillanhotel.com/
Bruntsfield Hotel	edinburgh	none-in-html		https://www.thebruntsfield.co.uk/
Cairn Hotel	edinburgh	none-in-html		https://www.cairnedinburgh.com/
28 York Place	edinburgh	none-in-html		http://28yorkplace.com/
Black Ivy	edinburgh	none-in-html		https://weareblackivy.com/
24 Royal Terrace	edinburgh	none-in-html		https://www.24royalterrace.co.uk/
Edinburgh House Hotel	edinburgh	UNREACHABLE		https://www.edinburgh-house.co.uk
21212	edinburgh	none-in-html		https://www.21212rooms.co.uk/
Calton Hill Rockhouse	edinburgh	none-in-html		https://rockhouse-edinburgh.com/
Culane House Hotel	edinburgh	none-in-html		https://www.culanehousehotel.co.uk/
Edinburgh City Suites	edinburgh	none-in-html		https://www.edinburghcitysuites.com/
Holyrood Aparthotel	edinburgh	none-in-html		https://www.holyroodaparthotel.com/
Haymarket Hotel	edinburgh	none-in-html		https://www.haymarket-hotel.co.uk/
Fingal	edinburgh	none-in-html		https://www.fingal.co.uk/
Gleneagles Townhouse	edinburgh	none-in-html		https://gleneagles.com/townhouse/
House of Gods	edinburgh	Mews	https://app.mews.com/distributor/7c5055a3-d834-40f9-8fc6-216164c991eb	https://www.houseofgodshotel.com/
Frederick House Hotel	edinburgh	Guestline	https://booking.eu.guestline.app/frederickhse/availability?hotel=FREDERICK	https://www.frederickhousehotel.com/
Kildonan Lodge Hotel	edinburgh	none-in-html		https://www.kildonanlodgehotel.co.uk/
Kimpton Charlotte Square	edinburgh	none-in-html		https://www.kimptoncharlottesquare.com/
