country,destination,channel,leads
FR,paris,phone,5697
GB,london,phone,4285
DE,berlin,phone,4250
ES,madrid,phone,3306
ES,barcelona,phone,3107
HU,budapest,email,2633
IT,rome,phone,2625
TH,phuket,walk-in,2569
DE,munich,phone,2422
AT,vienna,phone,2360
IT,milan,phone,2331
DE,berlin,email,2052
PT,lisbon,phone,1874
CZ,prague,phone,1864
SE,stockholm,email,1748
DE,munich,email,1648
AT,vienna,email,1642
GB,bath,phone,1610
GR,athens,phone,1600
NL,amsterdam,phone,1552
SE,stockholm,phone,1539
DK,copenhagen,phone,1524
CZ,prague,email,1500
IT,milan,email,1312
TH,phuket,phone,1246
HU,budapest,phone,1236
GB,bath,email,1233
GB,edinburgh,phone,1159
NL,amsterdam,email,1129
FR,paris,email,1037
PT,lisbon,email,1029
IT,rome,email,988
CH,zurich,phone,966
ES,madrid,email,957
ES,barcelona,email,910
ES,seville,phone,891
FR,nice,phone,874
GB,london,email,832
PT,porto,phone,748
IE,dublin,phone,731
CH,zurich,email,673
IT,florence,phone,537
IE,dublin,email,478
GR,athens,email,466
DK,copenhagen,email,361
GB,manchester,phone,361
IT,venice,phone,344
IT,venice,email,321
GB,manchester,email,292
IT,florence,email,280
GB,edinburgh,email,259
PT,porto,email,247
IS,reykjavik,email,235
FR,nice,email,224
IS,reykjavik,phone,208
TH,phuket,email,153
ES,seville,email,151
GB,liverpool,phone,120
HR,dubrovnik,phone,49
HR,dubrovnik,email,45
GB,liverpool,email,35
