country,segment,rows
DE,excluded_consent_required,3513
HU,excluded_personal_address,1504
AT,excluded_consent_required,1482
IT,review_per_country,1410
ES,excluded_personal_address,1325
IT,excluded_personal_address,1319
GB,send_ready,1281
GB,excluded_personal_address,1194
SE,review_per_country,994
HU,review_per_country,974
PT,excluded_personal_address,888
CZ,excluded_personal_address,786
SE,excluded_personal_address,726
FR,excluded_personal_address,724
NL,review_per_country,703
CH,excluded_consent_required,660
ES,review_per_country,585
CZ,review_per_country,541
FR,review_per_country,452
NL,excluded_personal_address,398
GR,excluded_personal_address,265
IE,send_ready,256
PT,excluded_not_audience,191
IE,excluded_personal_address,187
DK,review_per_country,186
GR,review_per_country,183
IS,excluded_personal_address,175
PT,review_per_country,169
DK,excluded_personal_address,166
CZ,excluded_not_audience,143
AT,excluded_not_audience,126
GB,excluded_not_audience,123
DE,excluded_not_audience,121
IT,excluded_undeliverable,98
TH,excluded_personal_address,95
HU,excluded_undeliverable,83
IT,excluded_not_audience,74
HU,excluded_not_audience,72
ES,excluded_undeliverable,68
DE,excluded_undeliverable,66
FR,excluded_not_audience,66
GB,excluded_undeliverable,53
TH,review_per_country,49
ES,excluded_not_audience,40
IS,review_per_country,36
AT,excluded_undeliverable,34
CZ,excluded_undeliverable,30
PT,excluded_undeliverable,28
HR,excluded_personal_address,25
SE,excluded_undeliverable,22
IE,excluded_undeliverable,20
HR,review_per_country,19
FR,excluded_undeliverable,19
NL,excluded_undeliverable,15
IE,excluded_not_audience,15
NL,excluded_not_audience,13
IS,excluded_not_audience,13
IS,excluded_undeliverable,11
GR,excluded_undeliverable,9
GR,excluded_not_audience,9
TH,excluded_undeliverable,9
CH,excluded_undeliverable,8
SE,excluded_not_audience,6
DK,excluded_undeliverable,5
CH,excluded_not_audience,5
DK,excluded_not_audience,4
HR,excluded_undeliverable,1
