name,name_th,category,area,phone,website,address,hours,google_rating,google_reviews,lat,lng,source,VERIFIED (Y/N),CORRECT PHONE,OWNER NAME,LINE ID,WANTS TO JOIN (Y/N),NOTES
Cafe Phuket Viewpoint,,Cafe,Patong,094 663 4124,https://instagram.com/cafephuket_viewpoint?igshid=YmMyMTA2M2Y=,"255 Phrabaramee Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.6,20883,7.9199,98.28075,google_places,,,,,,
Phuket International Airport,,International Airport,Airport,076 351 122,https://phuket.airportthai.co.th/,"222 หมู่ที่ 6, Tambon Mai Khao, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4,18976,8.10534,98.30543,google_places,,,,,,
Amritsr Restaurant Patong- Indian Restaurant in Phuket,,Indian Restaurant,Patong,098 068 7888,http://www.amritsr.com/,"1, 1 1 20 Rat Uthit Song Roi Pi Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.9,10754,7.89507,98.29903,google_places,,,,,,
Cappadocia Turkish Restaurant Patong Phuket,,Turkish Restaurant,Patong,080 236 0078,https://www.cappadociarestaurantsthailand.com/,"69/2 Soi Koknam, Rat-u-thid 200 Pee Road, ตำบลป่าตอง อำเภอกะทู้ ภูเก็ต 83150, Thailand",,4.9,10229,7.90035,98.30071,google_places,,,,,,
Amritsr Restaurant Patong Beach Road - Indian Restaurant in Phuket,,Indian Restaurant,Patong,093 440 4555,https://amritsr.com/,"140 Thaweewong Rd, Tambon Patong, กรุงเทพมหานคร Chang Wat Phuket 83150, Thailand",,4.8,10209,7.89483,98.29584,google_places,,,,,,
Phuket FantaSea,ภูเก็ตแฟนตาซี,Theme park,Kamala,076 385 000,https://phuketfantasea.fun,"99, Kamala Beach, Tambon Kamala, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.4,10152,7.95652,98.28619,osm,,,,,,
Chillva Market,,Market,Old Town,099 152 1919,https://www.facebook.com/Chillvamarket,"Ratsada, Mueang Phuket District, Phuket 83000, Thailand",,4.4,10143,7.90704,98.37329,google_places,,,,,,
"KIRI Restaurant, Kata Beach",,Restaurant,Kata,063 323 1480,https://www.sugarmarinahotel.com/restaurants/,"20/10 Thanon Kata Kata Beach, Tambon Karon, Amphoe Mueang Phuket, Chang Wat Phuket 83100, Thailand",,4.7,9842,7.81616,98.30087,google_places,,,,,,
Café del Mar Phuket Beach Club,,Business,Kamala,093 580 4486,https://phuket.cafedelmar.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,"118, 19 Moo 3, Tambon Kamala, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.3,8360,7.96102,98.28393,google_places,,,,,,
Illuzion Phuket,,Nightlife,Patong,064 454 4985,http://www.illuzionphuket.com/,"31 Bangla Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",Mo-Su 19:00-04:00,4.4,8080,7.89369,98.2978,osm,,,,,,
Amritsr Old Town,,Indian Restaurant,Phuket Town,082 902 1555,https://www.amritsr.com/,"Soi Rommanee Old Phuket Town, Tambon Talat Yai, OLDTOWN, Chang Wat Phuket 83000, Thailand",,4.8,7979,7.88529,98.38922,google_places,,,,,,
Zuri Restaurant Patong Beach Phuket | Sunset Dining & Cocktails,,Restaurant,Patong,066 115 0000,https://zurirestaurant.com/,"80, 1-2 Soi Moo Wattana, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,7036,7.89032,98.2934,google_places,,,,,,
Khao Rang Viewpoint,,Tourist Attraction,Old Town,,,"145/5 Thanon Patiphat Rang Hill, Tambon Wichit, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.5,6972,7.89236,98.38006,google_places,,,,,,
Little Paris French Bistronomy Restaurant Phuket,,French Restaurant,Bang Tao,063 050 8322,https://www.littleparisphuket.com/,"49, 47 ถนน บ้านดอน Bang Tao Beach, Tambon Choeng Thale, Amphoe Thalang, Chang Wat Phuket 83110, Thailand",,4.8,6802,7.9933,98.3043,google_places,,,,,,
Patong Beach Bangla Walking Street,,Tourist Attraction,Patong,,,"V7VW+J48, Bangla Rd, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.3,6654,7.89404,98.29533,google_places,,,,,,
Sansabai Massage,,Spa,Patong,086 943 0022,http://www.sansabai-massage.com/,"169, 10-12 Soi Sansabai, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.8,6591,7.893,98.29888,google_places,,,,,,
One Chun Cafe & Restaurant,,Thai Restaurant,Phuket Town,076 355 909,https://openlink.co/onechunphuket,"48, 1 Thep Krasattri Rd, Tambon Talat Yai, Amphoe Mueang Phuket, Chang Wat Phuket 83000, Thailand",,4.4,6574,7.88581,98.39071,google_places,,,,,,
Big C Extra Phuket 2,,Hypermarket,Patong,076 366 040,http://www.bigc.co.th/,"201 ถนน ราษฎร์อุทิศ, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.4,6227,7.88967,98.30029,google_places,,,,,,
Andamanda Phuket,อันดามันดา ภูเก็ต,Water park,Old Town,+6676646777,https://andamandaphuket.com,"333, 3, Tambon Kathu, Amphoe Kathu, Chang Wat Phuket 83120, Thailand",Mo-Su 10:00-19:00,4.3,6195,7.90261,98.36346,osm,,,,,,
Naughty Nuri’s Phuket,,Restaurant,Patong,061 173 0011,https://naughtynuristhailand.com/,"122 ถนน ราษฎร์อุทิศ, Tambon Patong, Amphoe Kathu, Chang Wat Phuket 83150, Thailand",,4.7,5951,7.89812,98.29968,google_places,,,,,,
